object_key,size_bytes,last_modified,publication_period_start,publication_period_end,schema_family,header_variant_id,header_variant_key,local_retained,local_size_matches_listing,content_sha256,raw_rows,silver_rows,quarantine_rows,reconciliation_delta,supersedes_object_key,supersession_evidence,evidence_class,incident_classification,publication_status,notes
usage-stats/,0,2015-09-08T08:47:14.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/01aJourneyDataExtract10Jan16-23Jan16.csv,34451153,2016-08-24T14:46:34.000Z,2016-01-10,2016-01-23,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/01b Journey Data Extract 24Jan16-06Feb16.csv,35486081,2016-08-23T09:16:33.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/01bJourneyDataExtract24Jan16-06Feb16.csv,35486081,2016-08-24T14:46:42.000Z,2016-01-24,2016-02-06,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/02aJourneyDataExtract07Fe16-20Feb2016.csv,33287674,2016-03-11T11:38:10.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/02bJourneyDataExtract21Feb16-05Mar2016.csv,34882871,2016-03-11T11:37:48.000Z,2016-02-21,2016-03-05,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/03JourneyDataExtract06Mar2016-31Mar2016.csv,67717329,2016-08-24T14:46:49.000Z,2016-03-06,2016-03-31,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/04JourneyDataExtract01Apr2016-30Apr2016.csv,94572397,2016-08-24T14:47:01.000Z,2016-04-01,2016-04-30,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/05JourneyDataExtract01May2016-17May2016.csv,71655072,2016-08-24T14:47:19.000Z,2016-05-01,2016-05-17,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/06JourneyDataExtract18May2016-24May2016.csv,27903078,2016-11-30T09:53:19.000Z,2016-05-18,2016-05-24,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/07JourneyDataExtract25May2016-31May2016.csv,25920903,2016-11-29T15:24:04.000Z,2016-05-25,2016-05-31,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/08JourneyDataExtract01Jun2016-07Jun2016.csv,28771414,2016-08-24T14:47:44.000Z,2016-06-01,2016-06-07,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/09JourneyDataExtract08Jun2016-14Jun2016.csv,27477331,2016-08-24T14:47:49.000Z,2016-06-08,2016-06-14,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/100JourneyDataExtract07Mar2018-13Mar2018.csv,17945922,2018-04-12T09:44:32.000Z,2018-03-07,2018-03-13,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/101JourneyDataExtract14Mar2018-20Mar2018.csv,17008201,2018-04-12T09:44:49.000Z,2018-03-14,2018-03-20,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/102JourneyDataExtract21Mar2018-27Mar2018.csv,20611024,2018-04-12T09:45:12.000Z,2018-03-21,2018-03-27,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/103JourneyDataExtract28Mar2018-03Apr2018.csv,11698458,2018-04-12T09:45:34.000Z,2018-03-28,2018-04-03,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/104JourneyDataExtract04Apr2018-10Apr2018.csv,19569924,2018-04-12T09:45:44.000Z,2018-04-04,2018-04-10,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/105JourneyDataExtract11Apr2018-17Apr2018.csv,23764410,2018-05-24T14:41:28.000Z,2018-04-11,2018-04-17,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/106JourneyDataExtract18Apr2018-24Apr2018.csv,33599248,2018-05-24T14:41:44.000Z,2018-04-18,2018-04-24,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/107JourneyDataExtract25Apr2018-01May2018.csv,20983000,2018-05-24T14:42:04.000Z,2018-04-25,2018-05-01,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/108JourneyDataExtract02May2018-08May2018.csv,31624193,2018-05-24T14:42:19.000Z,2018-05-02,2018-05-08,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/109JourneyDataExtract09May2018-15May2018.csv,29317958,2018-05-24T14:42:33.000Z,2018-05-09,2018-05-15,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/10JourneyDataExtract15Jun2016-21Jun2016.csv,27103628,2016-08-24T14:47:54.000Z,2016-06-15,2016-06-21,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/10a-Journey-Data-Extract-20Sep15-03Oct15.csv,53052751,2015-10-22T16:03:08.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/10b-Journey-Data-Extract-04Oct15-17Oct15.csv,49626229,2015-10-22T16:02:42.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/110JourneyDataExtract16May2018-22May2018.csv,32103278,2018-05-24T14:42:48.000Z,2018-05-16,2018-05-22,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/111JourneyDataExtract23May2018-29May2018.csv,28111400,2018-08-08T14:47:21.000Z,2018-05-23,2018-05-29,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/112JourneyDataExtract30May2018-05June2018.csv,31383816,2018-08-08T14:47:53.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/113JourneyDataExtract06June2018-12June2018.csv,32989219,2018-08-08T14:48:09.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/114JourneyDataExtract13June2018-19June2018.csv,31084740,2018-08-08T14:48:30.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/115JourneyDataExtract20June2018-26June2018.csv,35340649,2018-08-08T14:48:44.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/116JourneyDataExtract27June2018-03July2018.csv,35471699,2018-08-08T14:49:01.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/117JourneyDataExtract04July2018-10July2018.csv,35034559,2018-08-08T14:49:27.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/118JourneyDataExtract11July2018-17July2018.csv,34344069,2018-08-08T14:49:43.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/119JourneyDataExtract18July2018-24July2018.csv,34922018,2018-08-08T14:50:01.000Z,,,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
usage-stats/11JourneyDataExtract22Jun2016-28Jun2016.csv,27282325,2016-08-24T14:48:00.000Z,2016-06-22,2016-06-28,,,,false,,,,,,,,,observed,unknown_not_retained,metadata_only,
