feature,gain
roll_7,7025727.6266925335
station_key,3100161.700773716
roll_28,2772289.931330681
dep_lag_7,1572238.703382492
dep_lag_1,1042059.6117167473
dow,686884.1847805977
day_of_year,531607.200963974
precipitation_sum,528780.3643684387
temperature_2m_max,270328.26018953323
wind_speed_10m_max,245490.39350247383
temperature_2m_mean,233913.1027519703
weather_code,222786.73970365524
rain_sum,140072.59208869934
is_holiday,127908.74341869354
is_weekend,98697.07827663422
month,92105.22165298462
is_disruption,48108.5964179039
is_wet,17740.943994522095
is_cold,2779.7829208374023
