"Number","Start date","Start station number","Start station","End date","End station number","End station","Bike number","Bike model","Total duration","Total duration (ms)"
"158448278","2026-05-31 23:59","300227","Timber Lodge, Queen Elizabeth Olympic Park","2026-06-01 02:17","300227","Timber Lodge, Queen Elizabeth Olympic Park","50897","CLASSIC","2h 18m 16s","8296951"
"158448279","2026-05-31 23:59","200156","Pott Street, Bethnal Green","2026-06-01 00:02","200083","Pritchard's Road, Bethnal Green","90876","CLASSIC","3m 28s","208181"
"158448280","2026-05-31 23:59","200230","Maplin Street, Mile End","2026-06-01 00:05","200013","Aston Street, Stepney","55014","CLASSIC","5m 59s","359423"
"158448281","2026-06-01 00:00","001094","Wright's Lane, Kensington","2026-06-01 00:23","022161","Vincent Street, Pimlico","41886","CLASSIC","23m 1s","1381485"
"158448282","2026-05-31 23:59","300083","Duke Street Hill, London Bridge","2026-06-01 00:04","001213","Curlew Street, Shad Thames","52000","CLASSIC","4m 33s","273301"
"158448283","2026-05-31 23:59","001071","Tower Gardens , Tower","2026-06-01 00:37","200031","East Ferry Road, Cubitt Town","63333","PBSC_EBIKE","37m 31s","2251890"
"158448284","2026-06-01 00:00","003473","Belgrave Square, Belgravia","2026-06-01 00:16","001165","Riverlight North, Nine Elms","35630","CLASSIC","16m 28s","988430"
"158448285","2026-06-01 00:00","300049","Aylward Street, Stepney","2026-06-01 00:19","200064","Regent's Row , Haggerston","51433","CLASSIC","19m 21s","1161999"
"158448275","2026-05-31 23:58","001176","Waterloo Road, South Bank","2026-06-01 00:13","002587","Wormwood Street, Liverpool Street","51534","CLASSIC","14m 54s","894550"
"158448276","2026-05-31 23:58","300030","Thorndike Close, West Chelsea","2026-06-01 00:02","300076","Lots Road, West Chelsea","23174","CLASSIC","4m 0s","240131"
"158448277","2026-05-31 23:58","001019","Ampton Street , Clerkenwell","2026-06-01 00:06","001131","Graham Street, Angel","90888","CLASSIC","7m 45s","465973"
"158448268","2026-05-31 23:57","003430","Central House, Aldgate","2026-06-01 00:25","200022","Saunders Ness Road, Cubitt Town","58665","CLASSIC","28m 14s","1694320"
"158448269","2026-05-31 23:57","001189","Long Lane , Bermondsey","2026-06-01 00:25","300053","Stephendale Road, Sands End","62778","PBSC_EBIKE","27m 58s","1678116"
"158448270","2026-05-31 23:57","300037","Ravenscourt Park Station, Hammersmith","2026-06-01 00:16","200153","Blythe Road, Olympia","60251","PBSC_EBIKE","19m 21s","1161738"
"158448271","2026-05-31 23:57","300072","Broadley Terrace, Marylebone","2026-06-01 00:03","010625","Penfold Street, Marylebone","62595","PBSC_EBIKE","6m 3s","363051"
"158448272","2026-05-31 23:57","300049","Aylward Street, Stepney","2026-06-01 00:16","001032","New Inn Yard, Shoreditch","63142","PBSC_EBIKE","18m 28s","1108758"
"158448273","2026-05-31 23:57","300216","Gas Holders, Battersea Park","2026-06-01 00:08","200192","Fawcett Close, Battersea","41435","CLASSIC","10m 39s","639192"
"158448261","2026-05-31 23:54","002669","Charlotte Street, Fitzrovia","2026-06-01 00:38","001106","Rampayne Street, Pimlico","63153","PBSC_EBIKE","44m 40s","2680845"
"158448262","2026-05-31 23:54","001117","Lambeth North Station, Waterloo","2026-06-01 00:01","001017","Great Dover Street, The Borough","55724","CLASSIC","6m 52s","412089"
"158448263","2026-05-31 23:54","300086","Fulham Broadway, Walham Green","2026-05-31 23:58","300087","Imperial Road, Sands End","54651","CLASSIC","4m 6s","246905"
"158448264","2026-05-31 23:54","300079","London Street, Paddington","2026-06-01 00:22","200048","Page Street, Westminster","52746","CLASSIC","27m 49s","1669111"
"158448265","2026-05-31 23:54","200163","Jubilee Plaza, Canary Wharf","2026-06-01 00:03","200018","Spindrift Avenue, Millwall","54996","CLASSIC","9m 33s","573920"
"158448266","2026-05-31 23:54","001229","High Holborn , Covent Garden","2026-06-01 00:14","001047","Falkirk Street, Hoxton","59282","CLASSIC","19m 40s","1180889"
"158448267","2026-05-31 23:54","300037","Ravenscourt Park Station, Hammersmith","2026-06-01 00:15","200153","Blythe Road, Olympia","63546","PBSC_EBIKE","20m 12s","1212443"
"158448256","2026-05-31 23:53","200233","South Quay East, Canary Wharf","2026-06-01 00:49","200099","Upper Bank Street, Canary Wharf","54425","CLASSIC","56m 6s","3366268"
"158448257","2026-05-31 23:53","200233","South Quay East, Canary Wharf","2026-06-01 00:32","200099","Upper Bank Street, Canary Wharf","54855","CLASSIC","39m 32s","2372584"
"158448258","2026-05-31 23:53","200178","Buckingham Gate, Westminster","2026-06-01 00:17","300038","Star Road, West Kensington","57060","CLASSIC","24m 39s","1479005"
"158448259","2026-05-31 23:53","003423","Maida Vale, Maida Vale","2026-06-01 00:12","001148","Queen Mother Sports Centre, Victoria","58996","CLASSIC","18m 49s","1129586"
"158448260","2026-05-31 23:53","001028","William IV Street, Strand","2026-06-01 00:10","022160","Chelsea Bridge, Pimlico","55462","CLASSIC","16m 37s","997680"
"158448254","2026-05-31 23:52","001142","Tooley Street, Bermondsey","2026-06-01 00:52","001142","Tooley Street, Bermondsey","56278","CLASSIC","59m 31s","3571157"
"158448255","2026-05-31 23:52","300252","Canada Water Station, Rotherhithe","2026-06-01 00:11","200020","Shadwell Station, Shadwell","59230","CLASSIC","18m 45s","1125678"
"158448249","2026-05-31 23:51","003498","Geraldine Street, Elephant & Castle","2026-05-31 23:55","000996","Borough High Street, The Borough","51789","CLASSIC","4m 33s","273731"
"158448250","2026-05-31 23:51","001055","Wellington Road, St. John's Wood","2026-06-01 00:26","300083","Duke Street Hill, London Bridge","53186","CLASSIC","35m 13s","2113449"
"158448251","2026-05-31 23:51","001008","Hatton Wall, Holborn","2026-06-01 00:02","000989","Murray Grove , Hoxton","30992","CLASSIC","10m 45s","645389"
"158448252","2026-05-31 23:51","003479","Old Brompton Road, South Kensington","2026-06-01 00:06","200059","Crisp Road, Hammersmith","52611","CLASSIC","14m 26s","866510"
"158448240","2026-05-31 23:50","001142","Tooley Street, Bermondsey","2026-06-01 00:52","001142","Tooley Street, Bermondsey","57289","CLASSIC","1h 2m 1s","3721807"
"158448242","2026-05-31 23:50","001182","Notting Hill Gate Station, Notting Hill","2026-05-31 23:53","001120","Chepstow Villas, Notting Hill","55412","CLASSIC","3m 20s","200364"
"158448243","2026-05-31 23:50","001163","Wardour Street, Soho","2026-06-01 00:08","200020","Shadwell Station, Shadwell","62128","PBSC_EBIKE","17m 56s","1076415"
"158448244","2026-05-31 23:50","000991","Crosswall, Tower","2026-06-01 00:05","001010","Cartwright Gardens , Bloomsbury","62785","PBSC_EBIKE","14m 48s","888115"
"158448245","2026-05-31 23:50","200047","Bethnal Green Garden, Bethnal Green","2026-05-31 23:56","200249","Queen Mary's, Mile End","59521","CLASSIC","5m 26s","326651"
"158448246","2026-05-31 23:50","000960","Hop Exchange, The Borough","2026-06-01 00:11","003452","Panton Street, West End","52314","CLASSIC","20m 20s","1220921"
"158448247","2026-05-31 23:50","300070","Imperial Wharf Station, Sands End","2026-06-01 00:03","200180","South Park, Sands End","53571","CLASSIC","12m 10s","730382"
"158448248","2026-05-31 23:51","200238","Westferry DLR, Limehouse","2026-05-31 23:58","200038","Ackroyd Drive, Bow","56993","CLASSIC","7m 46s","466054"
"158448234","2026-05-31 23:49","300083","Duke Street Hill, London Bridge","2026-05-31 23:59","001071","Tower Gardens , Tower","55417","CLASSIC","9m 58s","598099"
"158448235","2026-05-31 23:49","002677","Natural History Museum, South Kensington","2026-05-31 23:58","300008","Normand Park, West Kensington","55880","CLASSIC","9m 18s","558185"
"158448236","2026-05-31 23:49","000973","Bethnal Green Road, Shoreditch","2026-06-01 00:06","010628","Cleaver Street, Kennington","62320","PBSC_EBIKE","17m 5s","1025697"
"158448238","2026-05-31 23:50","200119","Dorothy Road, Clapham Junction","2026-05-31 23:55","200119","Dorothy Road, Clapham Junction","21369","CLASSIC","5m 40s","340008"
"158448239","2026-05-31 23:50","001201","Bank of England Museum, Bank","2026-05-31 23:59","002641","New North Road 2, Hoxton","41194","CLASSIC","9m 40s","580100"
"158448228","2026-05-31 23:48","200133","South Lambeth Road, Vauxhall","2026-05-31 23:53","001224","Vauxhall Street, Vauxhall","56893","CLASSIC","5m 2s","302853"
"158448229","2026-05-31 23:48","001013","St. Chad's Street, King's Cross","2026-06-01 00:03","000963","Bankside Mix, Bankside","58199","CLASSIC","14m 48s","888587"
"158448230","2026-05-31 23:48","001140","Grosvenor Road, Pimlico","2026-05-31 23:50","001135","Claverton Street, Pimlico","58729","CLASSIC","1m 48s","108419"
"158448231","2026-05-31 23:48","200026","Greenland Road, Camden Town","2026-05-31 23:52","002635","Agar Grove, Camden Town","59024","CLASSIC","3m 20s","200720"
"158448232","2026-05-31 23:48","200110","Bishop's Bridge Road West, Bayswater","2026-06-01 00:33","300059","The Blue, Bermondsey","52638","CLASSIC","45m 14s","2714822"
"158448233","2026-05-31 23:48","022177","Christian Street, Whitechapel","2026-06-01 00:05","001072","Waterloo Station 3, Waterloo","42218","CLASSIC","16m 50s","1010354"
"158448225","2026-05-31 23:47","200116","Vereker Road, West Kensington","2026-05-31 23:52","200221","Crabtree Lane, Fulham","54228","CLASSIC","5m 21s","321266"
"158448226","2026-05-31 23:47","200145","Gloucester Avenue, Camden Town","2026-06-01 00:20","200032","Kennington Oval, Oval","57755","CLASSIC","32m 47s","1967896"
"158448227","2026-05-31 23:47","200252","Bow Church Station, Bow","2026-05-31 23:52","200019","Malmesbury Road, Bow","30449","CLASSIC","4m 49s","289013"
"158448221","2026-05-31 23:46","000972","Hampstead Road, Euston","2026-05-31 23:57","001131","Graham Street, Angel","60279","PBSC_EBIKE","10m 50s","650296"
"158448222","2026-05-31 23:46","200183","Battersea Park Road, Nine Elms","2026-06-01 00:06","300206","Saltoun Road, Brixton","55189","CLASSIC","19m 51s","1191557"
"158448223","2026-05-31 23:46","200099","Upper Bank Street, Canary Wharf","2026-06-01 00:01","200078","Aberfeldy Street, Poplar","62674","PBSC_EBIKE","14m 38s","878342"
